NPTREF,latitude,longitude,type,RSTNAM
9400ZZMAALT,53.387452,-2.347277,interchange,Altrincham
9400ZZMAAUL,53.490341,-2.098032,interchange,Ashton-Under-Lyne
9400ZZMAGMX,53.474747,-2.251098,interchange,Deansgate - Castlefield
9400ZZMAEDY,53.412055,-2.217255,interchange,East Didsbury
9400ZZMAECC,53.482893,-2.334584,interchange,Eccles
9400ZZMANAV,53.395723,-2.343329,interchange,Navigation Road
9400ZZMARIN,53.61733,-2.155317,interchange,Rochdale
9400ZZMAVIC,53.487394,-2.241948,interchange,Victoria
9400ZZMAPIC,53.477214,-2.230952,interchange,Piccadilly
9400ZZMAABM,53.510507,-2.235415,metrolink,Abraham Moss
9400ZZMAANC,53.474309,-2.28602,metrolink,Anchorage
9400ZZMAAMO,53.483604,-2.121992,metrolink,Ashton Moss
9400ZZMAAWT,53.490241,-2.109727,metrolink,Ashton West
9400ZZMAAUD,53.478211,-2.131092,metrolink,Audenshaw
9400ZZMABAG,53.396533,-2.292521,metrolink,Baguley
9400ZZMABAR,53.43283,-2.26935,metrolink,Barlow Moor Road
9400ZZMAEVC,53.465714,-2.341982,metrolink,Barton Dock Road
9400ZZMABLL,53.387088,-2.256221,metrolink,Benchill
9400ZZMABOB,53.541946,-2.286067,metrolink,Besses o'th'Barn
9400ZZMABOW,53.524949,-2.249976,metrolink,Bowker Vale
9400ZZMABWY,53.474836,-2.294957,metrolink,Broadway
9400ZZMABKS,53.417102,-2.326109,metrolink,Brooklands
9400ZZMABNR,53.429196,-2.240701,metrolink,Burton Road
9400ZZMABUR,53.590923,-2.297109,metrolink,Bury
9400ZZMACEM,53.479863,-2.15501,metrolink,Cemetery Road
9400ZZMACTP,53.501621,-2.19923,metrolink,Central Park
9400ZZMACHO,53.442852,-2.273433,metrolink,Chorlton
9400ZZMACLN,53.482799,-2.182159,metrolink,Clayton Hall
9400ZZMACRN,53.469992,-2.267581,metrolink,Cornbrook
9400ZZMACSS,53.383376,-2.256259,metrolink,Crossacres
9400ZZMACRU,53.517345,-2.241063,metrolink,Crumpsall
9400ZZMADNE,53.43031,-2.311326,metrolink,Dane Road
9400ZZMADER,53.549823,-2.101624,metrolink,Derker
9400ZZMADID,53.416743,-2.228564,metrolink,Didsbury Village
9400ZZMADRO,53.479453,-2.144672,metrolink,Droylsden
9400ZZMAELN,53.480865,-2.16523,metrolink,Edge Lane
9400ZZMAECS,53.485375,-2.201339,metrolink,Etihad Campus
9400ZZMAEXC,53.467837,-2.282315,metrolink,Exchange Quay
9400ZZMAEXS,53.484471,-2.24267,metrolink,Exchange Square
9400ZZMAFWH,53.510619,-2.162932,metrolink,Failsworth
9400ZZMAFIR,53.451291,-2.277719,metrolink,Firswood
9400ZZMAFRE,53.537616,-2.13817,metrolink,Freehold
9400ZZMAHCY,53.474027,-2.291321,metrolink,Harbour City
9400ZZMAHEA,53.530494,-2.267177,metrolink,Heaton Park
9400ZZMAHOL,53.519844,-2.147494,metrolink,Hollinwood
9400ZZMAHTN,53.483217,-2.212194,metrolink,Holt Town
9400ZZMAIWM,53.468585,-2.296767,metrolink,Imperial War Museum
9400ZZMATRC,53.467899,-2.347799,metrolink,The Trafford Centre
9400ZZMAKNY,53.61112,-2.123855,metrolink,Kingsway Business Park
9400ZZMALDY,53.483993,-2.326757,metrolink,Ladywell
9400ZZMALWY,53.480613,-2.295962,metrolink,Langworthy
9400ZZMAMFT,53.39188,-2.279828,metrolink,Martinscroft
9400ZZMAMCU,53.472278,-2.296883,metrolink,MediaCityUK
9400ZZMAMIL,53.608112,-2.112088,metrolink,Milnrow
9400ZZMAMON,53.50108,-2.210685,metrolink,Monsall
9400ZZMAMRD,53.403421,-2.295201,metrolink,Moor Road
9400ZZMANIS,53.481082,-2.219777,metrolink,New Islington
9400ZZMANBD,53.613381,-2.135516,metrolink,Newbold
9400ZZMANHY,53.600864,-2.094857,metrolink,Newhey
9400ZZMANEW,53.504125,-2.184648,metrolink,Newton Heath & Moston
9400ZZMANMR,53.41453,-2.288222,metrolink,Northern Moor
9400ZZMAOLD,53.456435,-2.284559,metrolink,Old Trafford
9400ZZMAOMC,53.540277,-2.112179,metrolink,Oldham Central
9400ZZMAOKS,53.539571,-2.117187,metrolink,Oldham King Street
9400ZZMAOMP,53.542406,-2.103433,metrolink,Oldham Mumps
9400ZZMAPAR,53.46735,-2.309081,metrolink,Parkway
9400ZZMAPLL,53.373708,-2.250413,metrolink,Peel Hall
9400ZZMAPGD,53.480222,-2.23686,metrolink,Piccadilly Gardens
9400ZZMAPOM,53.466578,-2.275137,metrolink,Pomona
9400ZZMAPWC,53.533372,-2.281981,metrolink,Prestwich
9400ZZMAQRD,53.501707,-2.226653,metrolink,Queens Road
9400ZZMARWD,53.376315,-2.25853,metrolink,Robinswood Road
9400ZZMASLE,53.424438,-2.318852,metrolink,Sale
9400ZZMASQY,53.470359,-2.283974,metrolink,Salford Quays
9400ZZMASDW,53.367573,-2.252511,metrolink,Shadowmoss
9400ZZMASHA,53.576159,-2.089546,metrolink,Shaw and Crompton
9400ZZMASCH,53.526516,-2.145269,metrolink,South Chadderton
9400ZZMASTP,53.478215,-2.243117,metrolink,St Peter's Square
9400ZZMASFD,53.446086,-2.303793,metrolink,Stretford
9400ZZMATIM,53.40452,-2.338256,metrolink,Timperley
9400ZZMATRA,53.461845,-2.277049,metrolink,Trafford Bar
9400ZZMAVPK,53.482279,-2.193022,metrolink,Velopark
9400ZZMAVLG,53.467395,-2.309066,metrolink,Village
9400ZZMAWST,53.482488,-2.308,metrolink,Weaste
