NPTREF,RSTNAM,latitude,longitude,node,place,design,greenspace,Segement
9400ZZMAABM,Abraham Moss,53.510507,-2.235415,0.038487686,1.141892594,-0.125433503,-0.337477141,Cluster2
9400ZZMAALT,Altrincham,53.387452,-2.347277,-0.862084911,0.583626484,-0.073217977,0.441060001,Cluster2
9400ZZMAANC,Anchorage,53.474309,-2.28602,1.177090902,1.14113077,0.964187618,-0.648919783,Cluster1
9100ARDWICK,ARDWICK,53.471206,-2.213369,0.408174776,-1.290132361,-0.609224399,0.280761978,Cluster3
9100ASHBRYS,ASHBURYS,53.471867,-2.194752,0.093245816,-0.905981035,0.177056949,-0.33792376,Cluster3
9400ZZMAAMO,Ashton Moss,53.483604,-2.121992,-0.099987175,-1.473690973,0.502074105,1.574353906,Cluster5
9400ZZMAAWT,Ashton West,53.490241,-2.109727,0.127497508,-0.726728025,0.523547823,0.922878862,Cluster3
9400ZZMAAUL,Ashton-Under-Lyne,53.490341,-2.098032,0.595544398,0.015280898,1.333408128,-0.205725539,Cluster3
9100ATHERTN,ATHERTON,53.529109,-2.47799,-1.162204493,-0.00912851,-1.129263615,-1.417963152,Cluster4
9400ZZMAAUD,Audenshaw,53.478211,-2.131092,0.734612751,-0.282677216,0.432156396,0.480357261,Cluster3
9400ZZMABAG,Baguley,53.396533,-2.292521,0.671640475,-0.798135266,0.178655144,0.27595811,Cluster3
9400ZZMABAR,Barlow Moor Road,53.43283,-2.26935,0.364421529,0.803488341,1.315911325,0.724010141,Cluster3
9400ZZMAEVC,Barton Dock Road,53.465714,-2.341982,0.234528768,-2.273373857,1.348057789,-0.691772154,Cluster3
9100BLLVUE,BELLE VUE,53.461787,-2.180187,0.254694119,0.295714886,-0.05766255,0.233337897,Cluster2
9400ZZMABLL,Benchill,53.387088,-2.256221,0.761960811,1.288115216,0.371198773,-0.732434427,Cluster2
9400ZZMABOB,Besses o'th'Barn,53.541946,-2.286067,0.21519831,0.644488909,-0.384799422,-0.10430038,Cluster2
9100BLRD,BLACKROD,53.591184,-2.569805,-2.452876114,-0.731678145,-2.312981343,-1.368416205,Cluster4
9100BOLTON,BOLTON INTERCHANGE,53.573558,-2.425152,0.044237208,-1.195242065,1.325822304,-0.188286538,Cluster3
9400ZZMABOW,Bowker Vale,53.524949,-2.249976,-0.191091661,0.298017525,-1.343852555,0.528795765,Cluster4
9100BMHL,BRAMHALL,53.360557,-2.163021,-0.994281899,0.085043982,-1.756683537,0.19495559,Cluster4
9100BREDBRY,BREDBURY,53.423069,-2.110546,-0.725324961,0.480088876,-0.889507087,-0.244843175,Cluster4
9100BRNGTN,BRINNINGTON,53.431953,-2.134094,-0.179041504,-0.369750544,-0.868503246,1.12872097,Cluster4
9100BRBM,BROADBOTTOM,53.440791,-2.016625,-2.129055772,-1.212223466,-1.32153528,0.33167716,Cluster4
9400ZZMABWY,Broadway,53.474836,-2.294957,1.655440662,-0.105055874,1.20430761,0.529825452,Cluster3
